"Station","Grade","2015 ridership"
"College","Underground","47,79"
"Davisville","Surface","25,33"
"Dundas","Underground","81,33"
"Dupont","Underground","16,14"
"Eglinton","Underground","72,75"
"Eglinton West","Underground/Surface","16,83"
"Finch","Underground","100,82"
"Glencairn","Surface","5,72"
"King","Underground","55,81"
"Lawrence","Underground","24,56"
"Lawrence West","Surface","19,95"
"Museum","Underground","8,1"
"North York Centre","Underground","24,22"
"Osgoode","Underground","22,49"
"Queen","Underground","48,01"
"Queen's Park","Underground","48,07"
"Rosedale","Surface","5,98"
"Sheppard West","Underground","37,67"
"St. Andrew","Underground","56,12"
"St. Clair","Underground","36,32"
"St. Clair West","Underground","28,11"
"St. Patrick","Underground","30,25"
"Summerhill","Underground","5,78"
"Union","Underground","118,45"
"Wellesley","Underground","23,14"
"Wilson","Surface","22,81"
"York Mills","Underground","28,15"
"Yorkdale","Surface","19,15"
"Bloor-Yonge - BD","Underground","183,24"
"Bloor-Yonge - YU","Underground","216,19"
"SPADINA - YU","Underground","13,79"
"SPADINA - BD","Underground","33,21"
"ST. GEORGE - YU","Underground","136,2"
"ST. GEORGE - BD","Underground","128,98"
"SHEPPARD - SHP","Underground","45,75"
"SHEPPARD - YU","Underground","76,82"
"Bathurst","Underground","36,46"
"Bay","Underground","30,86"
"Broadview","Underground","33,46"
"Castle Frank","Underground","8,35"
"Chester","Underground","7,7"
"Christie","Underground","12,02"
"Coxwell","Underground","15,26"
"Donlands","Underground","11,5"
"Dufferin","Underground","29,94"
"Dundas West","Underground","29,62"
"Greenwood","Underground","9,04"
"High Park","Underground/Surface","10,39"
"Islington","Underground","37,41"
"Jane","Underground","19,82"
"Keele","Elevated","15,24"
"Kipling","Surface","52,93"
"Lansdowne","Underground","19,25"
"Main Street","Underground","24,13"
"Old Mill","Underground/Elevated","6,62"
"Ossington","Underground","31,61"
"Pape","Underground","28,71"
"Royal York","Underground","20,23"
"Runnymede","Underground","17,04"
"Sherbourne","Underground","25,73"
"Victoria Park","Surface","28,61"
"Warden","Surface","29,74"
"Woodbine","Underground","14,38"
"KENNEDY - SRT","Underground/Elevated","35,79"
"KENNEDY - BD","Underground/Elevated","69,79"
"Ellesmere","Surface","1,56"
"Lawrence East","Surface","8,13"
"McCowan","Elevated","4,62"
"Midland","Elevated","2,41"
"Scarborough Centre","Elevated","24,63"
"Bayview","Underground","8,99"
"Bessarion","Underground","3,05"
"Don Mills","Underground","33,76"
"Leslie","Underground","6,6"